Rank	Journal Name	TestDOI	Status	Supplemental
1	CA-A CANCER JOURNAL FOR CLINICIANS	10.3322/caac.21586	done	yes
2	Nature Reviews Materials	10.1038/s41578-019-0146-8	done	yes
3	NEW ENGLAND JOURNAL OF MEDICINE	10.1056/NEJMoa1813279	done	yes
4	LANCET	10.1016/S0140-6736(19)32600-5	done	no
5	NATURE REVIEWS DRUG DISCOVERY	10.1038/s41573-019-0043-2	done	yes
6	CHEMICAL REVIEWS	10.1021/acs.chemrev.9b00157	done	no
7	Nature Energy	10.1038/s41560-019-0460-9	done	yes
8	NATURE REVIEWS CANCER	10.1038/s41568-019-0198-5	done	yes
9	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	10.1001/jama.2019.17379	done	yes
10	NATURE REVIEWS IMMUNOLOGY	10.1038/s41577-019-0195-7	done	yes
11	NATURE REVIEWS GENETICS	10.1038/s41576-019-0183-6	done	yes
12	NATURE REVIEWS MOLECULAR CELL BIOLOGY	10.1038/s41580-019-0163-x	done	yes
13	NATURE	10.1038/s41586-019-1732-z	done	yes
14	SCIENCE	10.1126/science.aaw0978	done	yes
15	CHEMICAL SOCIETY REVIEWS	10.1039/C9CS00377K	done	no
16	NATURE MATERIALS	10.1038/s41563-019-0504-3	done	yes
17	REVIEWS OF MODERN PHYSICS	10.1103/RevModPhys.91.045001	done	yes
18	CELL	10.1016/j.cell.2019.10.015	done	yes
19	LANCET ONCOLOGY			
20	NATURE REVIEWS MICROBIOLOGY			
21	Nature Reviews Clinical Oncology			
22	World Psychiatry			
24	Nature Nanotechnology			
25	Energy & Environmental Science			
26	NATURE REVIEWS NEUROSCIENCE			
27	Annual Review of Astronomy and Astrophysics			
28	Nature Reviews Disease Primers			
29	NATURE BIOTECHNOLOGY			
30	Nature Photonics			
31	NATURE MEDICINE			
32	Nature Reviews Chemistry			
33	LANCET NEUROLOGY			
34	NATURE METHODS			
35	PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS			
36	JOURNAL OF CLINICAL ONCOLOGY			
37	Living Reviews in Relativity			
38	BMJ-British Medical Journal			
39	LANCET INFECTIOUS DISEASES			
40	Annual Review of Biochemistry			
41	PROGRESS IN ENERGY AND COMBUSTION SCIENCE			
42	Cancer Discovery	10.1158/2159-8290.CD-19-0189	done	yes
43	ADVANCES IN PHYSICS			
44	ADVANCED MATERIALS			
45	NATURE GENETICS			
46	Advanced Energy Materials			
47	Nature Reviews Endocrinology			
48	Lancet Diabetes & Endocrinology			
49	PROGRESS IN POLYMER SCIENCE			
50	Materials Today			
51	PHYSIOLOGICAL REVIEWS			
52	CANCER CELL			
53	PROGRESS IN MATERIALS SCIENCE			
54	Nature Reviews Gastroenterology & Hepatology			
55	NATURE IMMUNOLOGY			
56	EUROPEAN HEART JOURNAL			
57	Nature Chemistry			
58	CIRCULATION			
59	Lancet Respiratory Medicine			
60	IEEE Communications Surveys and Tutorials			
61	JAMA Oncology			
62	Cell Metabolism			
63	MATERIALS SCIENCE & ENGINEERING R-REPORTS			
63	Psychological Science in the Public Interest			
65	Nature Climate Change			
67	ACCOUNTS OF CHEMICAL RESEARCH			
68	IMMUNITY	10.1016/j.immuni.2019.10.001	done	
69	Cell Stem Cell			
70	Annual Review of Immunology			
71	Nature Reviews Neurology			
72	NATURE NEUROSCIENCE			
73	INTERNATIONAL MATERIALS REVIEWS			
74	JAMA Internal Medicine			
75	Nature Physics			
76	Annual Review of Psychology			
78	Nature Reviews Nephrology			
79	Science Robotics			
80	ANNALS OF INTERNAL MEDICINE			
81	GASTROENTEROLOGY			
82	INTENSIVE CARE MEDICINE			
83	JOURNAL OF HEPATOLOGY			
84	Annual Review of Plant Biology			
85	PHARMACOLOGICAL REVIEWS			
86	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY			
87	Nature Reviews Rheumatology			
88	Lancet Psychiatry			
90	Chem			
91	ACTA NEUROPATHOLOGICA			
92	GUT	10.1136/gutjnl-2019-318947	done	
93	Annual Review of Physiology			
94	CELL RESEARCH	10.1038/s41422-019-0228-6	done	yes
95	CLINICAL MICROBIOLOGY REVIEWS			
96	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE			
97	NATURE CELL BIOLOGY			
98	Nature Reviews Cardiology			
99	EUROPEAN UROLOGY			
100	Annual Review of Fluid Mechanics			
