Rank	Journal	Journal.ISSN.(print.version)	Journal.EISSN.(online.version)	Pmid	Doi	fulltext	Journal.title	Journal.URL	Alternative.title	Publisher	Society.or.institution	"Platform,.host.or.aggregator"	Country.of.publisher	Journal.article.processing.charges.(APCs)	APC.information.URL	APC.amount	Currency	Journal.article.submission.fee	Submission.fee.URL	Submission.fee.amount	Submission.fee.currency	Journal.waiver.policy.(for.developing.country.authors.etc)	Waiver.policy.information.URL	Digital.archiving.policy.or.program(s)	Archiving:.national.library	Archiving:.other	Archiving.infomation.URL	Journal.full-text.crawl.permission	Permanent.article.identifiers	Journal.provides.download.statistics	Download.statistics.information.URL	First.calendar.year.journal.provided.online.Open.Access.content	Full.text.formats	Keywords	Full.text.language	URL.for.the.Editorial.Board.page	Review.process	Review.process.information.URL	URL.for.journal's.aims.&.scope	URL.for.journal's.instructions.for.authors	Journal.plagiarism.screening.policy	Plagiarism.information.URL	Average.number.of.weeks.between.submission.and.publication	URL.for.journal's.Open.Access.statement	Machine-readable.CC.licensing.information.embedded.or.displayed.in.articles	URL.to.an.example.page.with.embedded.licensing.information	Journal.license	License.attributes	URL.for.license.terms	Does.this.journal.allow.unrestricted.reuse.in.compliance.with.BOAI?	Deposit.policy.directory	Author.holds.copyright.without.restrictions	Copyright.information.URL	Author.holds.publishing.rights.without.restrictions	Publishing.rights.information.URL	DOAJ.Seal	Tick:.Accepted.after.March.2014	Added.on.Date	Subjects	Number.of.Article.Records	Most.Recent.Article.Added	
1	19 : interdisciplinary studies in the long nineteenth century	NA	1755-1560	24790640	10.16995/ntn.647	todo	19 : Interdisciplinary Studies in the Long Nineteenth Century	http://www.19.bbk.ac.uk	NA	Open Library of Humanities	"Birkbeck, University of London"	Ubiquity Press	United Kingdom	No	http://www.19.bbk.ac.uk/about/submissions	NA	NA	NA	http://www.19.bbk.ac.uk/about/submissions	NA	NA	NA	NA	"CLOCKSS, LOCKSS"	NA	NA	http://www.19.bbk.ac.uk/about	Yes	DOI	NA	NA	2005	"PDF, HTML"	"literature, cultural studies, nineteenth century, arts, modern history"	English	http://www.19.bbk.ac.uk/about/editorialteam/	Blind peer review	http://www.19.bbk.ac.uk/about/editorialPolicies	http://www.19.bbk.ac.uk/about/	http://www.19.bbk.ac.uk/about/submissions/	NA	NA	26	http://www.19.bbk.ac.uk/about/	Yes	http://www.19.bbk.ac.uk/article/view/ntn.725	CC BY	NA	http://www.19.bbk.ac.uk/about/submissions/	Yes	Sherpa/Romeo	TRUE	http://www.19.bbk.ac.uk/about/submissions/	TRUE	http://www.19.bbk.ac.uk/about/submissions/	Yes	Yes	2010-03-23T15:49:09Z	"History (General) and history of Europe: History (General): Modern history, 1453-"	302	2019-07-04T07:41:33Z	
2	Acta Amazon	0044-5967	NA	31289414	10.1590/1809-4392201602663	done	Acta Amazonica	http://www.scielo.br/scielo.php/script_sci_serial/pid_0044-5967/lng_en/nrm_iso/lng_en	NA	Instituto Nacional de Pesquisas da Amazônia	NA	SciELO Brazil	Brazil	No	http://www.scielo.br/revistas/aa/iinstruc.htm	NA	NA	NA	http://www.scielo.br/revistas/aa/iinstruc.htm	NA	NA	NA	NA	NA	NA	NA	NA	Yes	DOI	Yes	http://www.scielo.br/statjournal.php?lang=en&issn=0044-5967	2003	"PDF, HTML, XML"	"floristics, the amazon, botany, agronomy, forest science, zoology"	"English, Portuguese, Spanish"	http://www.scielo.br/revistas/aa/iedboard.htm	Peer review	http://www.scielo.br/revistas/aa/iinstruc.htm	http://www.scielo.br/revistas/aa/iaboutj.htm	http://www.scielo.br/revistas/aa/iinstruc.htm	NA	NA	22	http://www.scielo.br/revistas/aa/isubscrp.htm	NA	NA	CC BY-NC	NA	http://www.scielo.br/revistas/aa/iaboutj.htm	Yes	NA	FALSE	NA	FALSE	NA	No	Yes	2004-10-08T10:10:12Z	Science: Science (General)	848	2019-07-10T20:12:34Z	
3	Acta Chim Slov	1318-0207	1580-3155	29993114	10.17344/acsi.2017.3924	done	Acta Chimica Slovenica	http://acta.chem-soc.si/	NA	Slovenian Chemical Society	Slovenian chemical socety	OJS	Slovenia	No	https://acta.chem-soc.si/journal-information/	NA	NA	NA	https://acta.chem-soc.si/journal-information/	NA	NA	NA	NA	NA	dLib: Digitalna knjižnica Slovenije	NA	https://www.dlib.si/?&language=eng	Yes	DOI	NA	NA	1998	PDF	chemistry	English	https://acta.chem-soc.si/editorial-team/	Blind peer review	https://acta.chem-soc.si/journal-information/	https://acta.chem-soc.si/journal-information/	https://acta.chem-soc.si/author-guidelines/	Yes	https://acta.chem-soc.si/journal-information/	12	https://acta.chem-soc.si/journal-information/	Yes	https://journals.matheo.si/index.php/ACSi/article/view/4889/2288	CC BY	NA	https://acta.chem-soc.si/journal-information/	Yes	Sherpa/Romeo	TRUE	https://acta.chem-soc.si/journal-information/	TRUE	https://acta.chem-soc.si/journal-information/	Yes	Yes	2003-12-17T00:00:00Z	Science: Chemistry	591	2020-01-29T15:00:48Z	
4	Acta Clin Croat	0353-9466	1333-9451	31969773	10.20471/acc.2019.58.03.24	done	Acta Clinica Croatica	https://hrcak.srce.hr/acta-clinica-croatica	NA	"Sestre Milosrdnice University hospital, Institute of Clinical Medical Research "	NA	Hrčak	Croatia	No	https://hrcak.srce.hr/acta-clinica-croatica	NA	NA	NA	https://hrcak.srce.hr/acta-clinica-croatica	NA	NA	NA	NA	NA	NA	Hrčak	https://hrcak.srce.hr/acta-clinica-croatica	Yes	DOI	Yes	https://hrcak.srce.hr/index.php?show=clanak&id_clanak_jezik=271524	2001	PDF	"general medicine, clinical medicine, biomedicine"	English	https://hrcak.srce.hr/upute/impressum_hr_Acta_clinica_Croatica.pdf	Peer review	https://hrcak.srce.hr/acta-clinica-croatica	https://hrcak.srce.hr/upute/guide_authors_Acta_clinica_Croatica.pdf	https://hrcak.srce.hr/upute/guide_authors_Acta_clinica_Croatica.pdf; http://actaclinica.eu/instructions/for-authors/	Yes	https://hrcak.srce.hr/upute/guide_authors_Acta_clinica_Croatica.pdf	30	https://hrcak.srce.hr/acta-clinica-croatica	NA	NA	CC BY-NC-ND	NA	https://hrcak.srce.hr/acta-clinica-croatica	Yes	NA	FALSE	NA	FALSE	NA	No	Yes	2018-07-15T17:06:58Z	Medicine	437	2019-06-10T14:06:08Z	
5	Acta Med Acad	1840-1848	1840-2879	32124635	10.5644/ama2006-124.277	done	Acta Medica Academica	http://www.ama.ba	NA	Academy of Sciences and Arts of Bosnia and Herzegovina	NA	OJS	Bosnia and Herzegovina	No	http://ama.ba/forms/AMA-2016-instrukcija-1.pdf	NA	NA	NA	http://ama.ba/forms/AMA-2016-instrukcija-1.pdf	NA	NA	NA	NA	NA	NA	NA	http://ama.ba/index.php/ama	Yes	DOI	NA	NA	2006	PDF	"medicine, public health, biomedical research"	English	http://ama.ba/index.php/ama/about/editorialTeam	Double blind peer review	http://ama.ba/forms/Peer%20Review%20Process.pdf	http://ama.ba/index.php/ama/index	http://ama.ba/forms/AMA-2015-instrukcija.pdf	Yes	http://ama.ba/forms/AMA-2015-instrukcija.pdf	15	http://ama.ba/index.php/ama/index	NA	NA	CC BY-NC	NA	http://ama.ba/index.php/ama 	Yes	NA	FALSE	NA	FALSE	NA	No	Yes	2013-01-08T11:33:20Z	Medicine: Medicine (General)	182	2016-12-30T12:01:02Z	
6	Acta Med Port	0870-399X	1646-0758	32208132	10.20344/amp.12653	done	Acta Médica Portuguesa	http://www.actamedicaportuguesa.com/revista/index.php/amp/index	NA	Ordem dos Médicos	Ordem dos Médicos	OJS	Portugal	No	http://www.actamedicaportuguesa.com/info/AMP-PublishingGuidelines.pdf	NA	NA	NA	http://www.actamedicaportuguesa.com/info/AMP-PublishingGuidelines.pdf	NA	NA	NA	NA	NA	NA	NA	NA	Yes	DOI	NA	NA	2003	PDF	"medicine, medical science, case studies"	"English, Portuguese"	http://www.actamedicaportuguesa.com/eng/index.php?opcao=paginas&idPag=2	Blind peer review	http://www.actamedicaportuguesa.com/info/AMP-PublishingGuidelines.pdf	http://www.actamedicaportuguesa.com/info/AMP-PublishingGuidelines.pdf	http://www.actamedicaportuguesa.com/info/AMP-PublishingGuidelines.pdf	NA	NA	12	http://www.actamedicaportuguesa.com/info/AMP-PublishingGuidelines.pdf	NA	NA	CC BY-NC-ND	NA	http://www.actamedicaportuguesa.com/info/AMP-PublishingGuidelines.pdf	Yes	Sherpa/Romeo	FALSE	NA	FALSE	NA	No	Yes	2008-02-15T09:10:29Z	Medicine: Medicine (General)	579	2020-03-02T13:41:56Z	
7	Acta Medica (Hradec Kralove)	1211-4286	1805-9694	32036851	10.14712/18059694.2020.8	done	Acta Medica	http://actamedica.lfhk.cuni.cz/	Acta Medica (Hradec Králové)	Karolinum Press	NA	NA	Czechia	No	http://actamedica.lfhk.cuni.cz/for-authors.html	NA	NA	NA	http://actamedica.lfhk.cuni.cz/for-authors.html	NA	NA	NA	NA	Portico	NA	NA	https://thekeepers.org/purl/issn/1211-4286	Yes	DOI	NA	NA	1997	PDF	"medicine, health science"	English	http://actamedica.lfhk.cuni.cz/editorial-board.html	Blind peer review	http://actamedica.lfhk.cuni.cz/for-authors.html	http://actamedica.lfhk.cuni.cz/	http://actamedica.lfhk.cuni.cz/for-authors.html	NA	NA	20	http://actamedica.lfhk.cuni.cz/for-authors.html	NA	NA	CC BY	NA	http://actamedica.lfhk.cuni.cz/for-authors.html	Yes	NA	FALSE	NA	FALSE	NA	No	Yes	2004-03-30T12:05:44Z	Medicine	687	2020-02-10T11:15:27Z	
8	Acta Neuropathol Commun	NA	2051-5960	32197665	10.1186/s40478-020-00905-w	done	Acta Neuropathologica Communications	http://actaneurocomms.biomedcentral.com	NA	BMC	NA	BMC	United Kingdom	Yes	http://actaneurocomms.biomedcentral.com/about	950	GBP - Pound Sterling	NA	http://actaneurocomms.biomedcentral.com/about	NA	NA	Yes	https://actaneurocomms.biomedcentral.com/about	"CLOCKSS, LOCKSS, PMC/Europe PMC/PMC Canada, Portico"	NA	Koninklijke Bibliotheek	http://www.biomedcentral.com/publishing-services/indexing-archiving-and-access-to-data/journal-archiving	Yes	DOI	Yes	http://actaneurocomms.biomedcentral.com/articles/10.1186/s40478-016-0316-5	2013	"PDF, HTML"	"pathology, nervous system, skeletal muscle disorders, neurological disease"	English	http://actaneurocomms.biomedcentral.com/about/editorial-board	Blind peer review	http://actaneurocomms.biomedcentral.com/about	http://actaneurocomms.biomedcentral.com/about	http://actaneurocomms.biomedcentral.com/submission-guidelines	Yes	https://www.biomedcentral.com/getpublished/editorial-policies	8	http://actaneurocomms.biomedcentral.com/about	Yes	http://actaneurocomms.biomedcentral.com/articles/10.1186/s40478-016-0316-5	CC BY	NA	https://actaneurocomms.biomedcentral.com/submission-guidelines/copyright	Yes	Sherpa/Romeo	TRUE	https://www.biomedcentral.com/about/policies/license-agreement	TRUE	https://www.biomedcentral.com/about/policies/license-agreement	Yes	Yes	2013-09-18T14:20:42Z	Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system	465	2020-03-20T18:16:10Z	
9	Acta Orthop	1745-3674	1745-3682	32106751	10.1080/17453674.2020.1731159	done	Acta Orthopaedica 	http://www.tandfonline.com/toc/iort20/current	Acta Orthopedica	Taylor & Francis Group	Nordic Orthopaedic Federation	Taylor & Francis Online	United Kingdom	No	http://www.tandf.co.uk/journals/authors/healthcare/IORT-IFA.pdf	NA	NA	NA	http://www.tandf.co.uk/journals/authors/healthcare/IORT-IFA.pdf	NA	NA	NA	NA	"LOCKSS, CLOCKSS, Portico, PMC/Europe PMC/PMC Canada"	NA	NA	http://www.tandf.co.uk/libsite/productInfo/journals/onlineArchive/	Yes	DOI	Yes	http://www.tandfonline.com/action/showAxaArticles?journalCode=iort20	2005	"PDF, HTML"	orthopaedics	English	http://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=IORT	Open peer review	http://www.tandfonline.com/action/journalInformation?show=aimsScope&journalCode=iort20	http://tandfonline.com/action/journalInformation?show=aimsScope&journalCode=iort20	http://tandfonline.com/action/authorSubmission?journalCode=iort20&page=instructions	NA	NA	24	http://tandfonline.com/action/journalInformation?show=aimsScope&journalCode=iort20	Yes	http://www.tandfonline.com/action/showCopyRight?doi=10.3109%2F17453674.2016.1166876	CC BY-NC	NA	http://authorservices.taylorandfrancis.com/publishing-agreements-your-options/	Yes	Sherpa/Romeo	FALSE	NA	FALSE	NA	No	Yes	2005-03-02T10:20:44Z	Medicine: Surgery: Orthopedic surgery	545	2020-03-05T16:00:55Z	
10	Acta Palaeontol Pol	0567-7920	1732-2421	29497243	10.4202/app.00355.2017	todo	Acta Palaeontologica Polonica	http://www.app.pan.pl/	NA	Institute of Paleobiology PAS	Polish Academy of Sciences	"Instytut Paleobiologii PAN (Institute of Paleobiology, Polish Academy of Sciences)"	Poland	Yes	https://e-system.app.pan.pl/app/journal/for_authors/	22	EUR - Euro	NA	https://e-system.app.pan.pl/app/journal/for_authors/	NA	NA	Yes	https://e-system.app.pan.pl/app/journal/for_authors/	Portico	Biblioteka Narodowa	Scholars Portal	http://www.app.pan.pl/home.html	Yes	DOI	NA	NA	1956	"PDF, HTML"	"paleobiology, geobiology, evolution, fossils, paleoecology, palaeology"	English	http://www.app.pan.pl/editors.html	Peer review	https://e-system.app.pan.pl/app/journal/for_authors/#id6	http://www.app.pan.pl/home.html	https://e-system.app.pan.pl/app/journal/for_authors/	Yes	https://e-system.app.pan.pl/app/journal/for_authors/	16	http://www.app.pan.pl/home.html	Yes	http://www.app.pan.pl/archive/published/app60/app002012015_acc.pdf	CC BY	NA	http://www.app.pan.pl/copyright-policy.html	Yes	Sherpa/Romeo	TRUE	http://www.app.pan.pl/copyright-policy.html	TRUE	http://www.app.pan.pl/copyright-policy.html	Yes	Yes	2005-07-27T09:38:13Z	Geography. Anthropology. Recreation: Anthropology: Physical anthropology. Somatology: Human evolution: Fossil man. Human paleontology | Science: Geology: Paleontology	273	2020-03-23T11:51:05Z	
